name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url
"Паскаль Лицей, частная школа",../../sredneobrazovatelnaya-shkola/paskal-litsej/index.html,a137,vyiborgskij,4,61.0,4.5,4.9,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolapaskallitsejindexhtml.htm,8125529475,www.pascallyceum.ru
"Менахем, школа-сад, частное общеобразовательное учреждение",../../nachalnaya-shkola/menahem-shkola-sad-chastnoe-obscheobrazovatelnoe-uchrezhdenie/index.html,a140,vyiborgskij,"",59.2,"",5.0,Частная школа,../data/shkola-spb.ru/cache/nachalnayashkolamenahemshkolasadchastnoeobscheobrazovatelnoeuchrezhdenieindexhtml.htm,8123187356|8122913757,menahemschool.ru
Санкт-Петербургский технический колледж управления и коммерции (ТКУиК),../../drugoe/sankt-peterburgskij-tehnicheskij-kolledzh-upravleniya-i-kommertsii-tkuik/index.html,a743,tsentralnyij,"",48.2,"",5.0,Другое,../data/shkola-spb.ru/cache/drugoesanktpeterburgskijtehnicheskijkolledzhupravleniyaikommertsiitkuikindexhtml.htm,8125422405|8125422806,www.tcmc.spb.ru
"РОСТ, частная школа",../../nachalnaya-shkola/rost-chastnyij-detskij-sad-shkola/index.html,a139,vyiborgskij,"","","",5.7,Начальная школа|Частная школа,../data/shkola-spb.ru/cache/nachalnayashkolarostchastnyijdetskijsadshkolaindexhtml.htm,8122944514|9216312550,rostschool.ru
"МАСТЕР-КЛАСС, школа вариативного обучения",../../sredneobrazovatelnaya-shkola/master-klass-shkola-variativnogo-obucheniya/index.html,a141,vyiborgskij,"","","",0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolamasterklassshkolavariativnogoobucheniyaindexhtml.htm,8129767869,www.master-klass.spb.ru
"№ 108, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/108-shkola/index.html,a98,vyiborgskij,"",48.7,"",0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola108shkolaindexhtml.htm,8125424360|8125429265,108.shko.la
"№ 563, школа «Пушкинский лицей» [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/563-shkola-pushkinskij-litsej/index.html,a129,vyiborgskij,"","","",0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola563shkolapushkinskijlitsejindexhtml.htm,8125996423|8125575388,school563.ru
"№ 701, начальная школа - детский сад «ИЗУМРУДНЫЙ ГОРОД»",../../nachalnaya-shkola/701-nachalnaya-shkola-detskij-sad-izumrudnyij-gorod/index.html,a192,kalininskij,"","","",5.1,Начальная школа,../data/shkola-spb.ru/cache/nachalnayashkola701nachalnayashkoladetskijsadizumrudnyijgorodindexhtml.htm,8125336431,new.school701.ru
Монтессори-школа Михайловой (МШМ),../../nachalnaya-shkola/montessori-shkola-mihajlovoj-mshm/index.html,a825,kalininskij,"","","",8.8,Начальная школа|Частная школа,../data/shkola-spb.ru/cache/nachalnayashkolamontessorishkolamihajlovojmshmindexhtml.htm,8126424475,montessori-school.ru
"Взмах, частная школа",../../sredneobrazovatelnaya-shkola/vzmah/index.html,a240,kirovskij,1,65.8,"",7.7,Английский язык|Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolavzmahindexhtml.htm,8127034190|8123761025,www.vzmakh.ru
ШКОЛА РАЗГОВОРНЫХ ЯЗЫКОВ ЧОУ,../../inostrannyie-yazyiki/shkola-razgovornyih-yazyikov-chou/index.html,a244,kirovskij,"",53.0,"",6.7,Английский язык|Другие языки|Частная школа,../data/shkola-spb.ru/cache/inostrannyieyazyikishkolarazgovornyihyazyikovchouindexhtml.htm,8123080109|8127523470,clschool.ru
Санкт-Петербургское Суворовское военное училище МВД России,../../voennoe-uchilische/sankt-peterburgskoe-suvorovskoe-voennoe-uchilische-mvd-rossii/index.html,a814,kirovskij,"",49.7,"",5.3,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilischesanktpeterburgskoesuvorovskoevoennoeuchilischemvdrossiiindexhtml.htm,8127849634|8124944886,svu-mvd.spb.ru
"№ 479, школа славянских культур",../../drugoe/479-shkola-slavyanskih-kultur/index.html,a225,kirovskij,"",48.6,"",5.4,"",../data/shkola-spb.ru/cache/drugoe479shkolaslavyanskihkulturindexhtml.htm,8127842066|8127840430,www.kirov.spb.ru/sc/479
