name,ogrn
Государственное бюджетное общеобразовательное учреждение школа № 18 Центрального района Санкт-Петербурга,1027809248807
ГБОУ №18,1027809248807
ГСКОУ №18,1027809248807
Государственное бюджетное общеобразовательное учреждение Морская школа Московского района Санкт-Петербурга,1027804895051
ГБОУ Морская школа,1027804895051
ГОУ ЦО №2,1027804895051
"Государственное бюджетное учреждение дополнительного образования ""Правобережный дом детского творчества"" Невского района Санкт-Петербурга",1037825006075
"ГБУ ДО ""ПДДТ""",1037825006075
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 46 с углубленным изучением английского языка Приморского района Санкт-Петербурга,1027807584133
ГБОУ СОШ №46,1027807584133
ГОУ СОШ №46 (англ),1027807584133
Школа № 46,1027807584133
Школа №46,1027807584133
"№ 46, школа",1027807584133
Государственное бюджетное общеобразовательное учреждение школа № 4 Василеостровского района Санкт - Петербурга,1037800060770
ГБСОУ №4,1037800060770
ГС(К)ОУ №4,1037800060770
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №153 Центрального района Санкт-Петербурга имени Героя Российской Федерации В.В.Таташвили,1027809254593
ГБОУ СОШ №153,1027809254593
ГОУ СОШ №153,1027809254593
Школа № 153,1027809254593
Школа №153,1027809254593
"№ 153, школа",1027809254593
"Государственное бюджетное учреждение дополнительного профессионального педагогического образования центр повышения квалификации специалистов ""Информационно-методический центр"" Колпинского района Санкт-Петербурга",1027808761804
ГБУ ДППО ЦПКС ИМЦ Колпинского района,1027808761804
Государственное бюджетное общеобразовательное учреждение школа №690 Невского района Санкт-Петербурга,1167847218098
ГБОУ СОШ №690,1167847218098
Школа № 690,1167847218098
Школа №690,1167847218098
"№ 690, школа",1167847218098
Государственное бюджетное общеобразовательное учреждение школа №5 Центрального района Санкт-Петербурга,1027809226312
ГБОУ №5,1027809226312
ГСКОУ №5,1027809226312
Государственное бюджетное общеобразовательное учреждение школа №59 Приморского района Санкт-Петербурга,1027807571967
ГБОУ школа №59,1027807571967
ГС(К)ОУ №59,1027807571967
Государственное бюджетное общеобразовательное учреждение Гимназия № 67 Петроградского района Санкт-Петербурга,1027806860674
ГБОУ Гимназия №67,1027806860674
ГОУ Гимназия №67,1027806860674
Государственное бюджетное учреждение дополнительного образования Дом детства и юношества Приморского района Санкт-Петербурга,1027807587983
ГБУ ДО ДДЮ,1027807587983
Государственное бюджетное общеобразовательное учреждение Российская гимназия при Государственном Русском музее Центрального района Санкт-Петербурга,1037843076006
ГБОУ гимназия при ГРМ,1037843076006
ГОУ гимназия ГРМ,1037843076006
Гимназия № ,1037843076006
Гимназия №,1037843076006
"№ , гимназия",1037843076006
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №632 Приморского района Санкт-Петербурга,1197847080562
ГБОУ школа №632,М
Государственное бюджетное общеобразовательное учреждение школа №25 Петроградского района Санкт-Петербурга,1037828004500
ГБОУ школа №25,1037828004500
Государственное бюджетное учреждение дополнительного образования Дворец детского (юношеского) творчества Выборгского района Санкт-Петербурга,1027801582181
ГБУ ДО ДДЮТ,1027801582181
"Государственное бюджетное учреждение дополнительного образования Дом детского творчества ""Союз"" Выборгского района Санкт-Петербурга",1027801582225
"ГБУ ДО ДДТ ""Союз""",1027801582225
"Государственное бюджетное учреждение дополнительного образования Дворец творчества детей и молодежи ""Молодежный творческий Форум Китеж плюс"" Санкт-Петербурга",1037832051069
"ДО при ГБУ ДО ""Китеж плюс""",1037832051069
Государственное бюджетное общеобразовательное учреждение центр образования № 195 Адмиралтейского района Санкт-Петербурга,1027810349841
ГБОУ ЦО №195,1027810349841
ГОУ ЦО № 195,1027810349841
"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа с углубленным изучением предметов музыкального цикла ""Тутти"" Центрального района Санкт-Петербурга",1037843012790
ГБОУ СОШ «Тутти»,1037843012790
"ГОУ СОШ ""Тутти"" (муз)",1037843012790
Школа № ,1037843012790
Школа №,1037843012790
"№ , школа",1037843012790
Государственное бюджетное учреждение дополнительного профессионального педагогического образования центр повышения квалификации специалистов «Информационно-методический Центр» Выборгского района Санкт-Петербурга,1027801579651
ГБУ ДППО ЦПКС ИМЦ Выборгского района,1027801579651
Государственное бюджетное общеобразовательное учреждение школа-интернат №22 Невского района Санкт-Петербурга.,1027806076033
ГБОУ Ш-И №22,1027806076033
ГОУ С(К)ОШ-И №22,1027806076033
Государственное бюджетное общеобразовательное учреждение Центр образования № 167 Красносельского района Санкт-Петербурга,1027804601538
ГБОУ ЦО №167,1027804601538
ГОУ ЦО №167,1027804601538
"Частное образовательное учреждение высшего образования ""Санкт-Петербургский институт экономики и управления""",1027802520602
ЧОУ ВО СПбИЭУ,1027802520602
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 18 с углубленным изучением математики Василеостровского района Санкт-Петербурга,1037800007211
ГБОУ СОШ №18,1037800007211
ГБОУ СОШ №18(мат),1037800007211
Школа № 18,1037800007211
Школа №18,1037800007211
"№ 18, школа",1037800007211
"Государственное бюджетное учреждение дополнительного образования Центр психолого-педагогической, медицинской и социальной помощи Колпинского района Санкт-Петербурга",1027808757910
