name,ogrn
Школа №658,1027802749402
Школа №661,1027807583132
Школа №667,1037825016316
Школа №683,1027807585024
"Школа №684 ""Берегиня""",1117847367164
Школа №688,1027807590150
Школа №692,1027802498877
"Школа №695  ""Радуга"" ",1027809005850
Школа №700,1027800560358
Школа №71,1027802496523
Школа №72,1027802497260
Школа №75,1037828005775
Школа №76,1027801583391
Школа №77,1037828001166
Школа №78,1027802496919
Школа №79,1027802496590
"Школа №8 ""Музыка"" ",1027807997051
Школа №80,1027806887668
Школа №81,1027802499207
Школа №83,1027801583688
Школа №84,1027806887371
Школа №86,1027806892827
Школа №87,1037828001683
Школа №88,1027802499185
Школа №89,1027802496810
Школа №90,1027801583677
Школа №91,1037828002739
Школа №93,1147847205681
Школа №96,1027802499372
Школа №97,1027801583633
Школа №98,1027802496842
