name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url,globalid,detector
"РИД, частная школа",../../sredneobrazovatelnaya-shkola/rid/index.html,a417,petrogradskij,"",57.2,"",5.0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolaridindexhtml.htm,8123690212|8122344860,www.reed.ru,d06f8546b45e4923e41e8631c6d669df,not_detected
"№ 489, школа",../../sredneobrazovatelnaya-shkola/489-shkola/index.html,a392,moskovskij,"",56.8,3.8,7.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola489shkolaindexhtml.htm,8123732962|8123732743,school489spb.ru,5cc21e866358a09d566db458714addd8,select_exactly
"№ 510, школа с углубленным изучением английского языка",../../anglijskij-yazyik/510-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a398,moskovskij,1,56.7,"",5.0,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik510shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8123754788|8123755531,new510.ru,f1def0a72eb0cf4f610887e32b877b7d,select_by_number
"№ 544, школа с углубленным изучением английского языка",../../anglijskij-yazyik/544-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a409,moskovskij,6,56.7,"",6.0,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik544shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8123712931|8123708175,school544.ucoz.ru,fbc3a732a2e2fd7cb629830354de1f01,select_by_number
"№ 351, школа с углубленным изучением французского языка",../../frantsuzskij-yazyik/351-shkola-s-uglublennyim-izucheniem-frantsuzskogo-yazyika/index.html,a377,moskovskij,3,56.6,"",7.7,Французский язык,../data/shkola-spb.ru/cache/frantsuzskijyazyik351shkolasuglublennyimizucheniemfrantsuzskogoyazyikaindexhtml.htm,8127272700|8127272680,https://sites.google.com/site/skola351spb,b66e83f20956d549bbeb3df2a7b3159c,select_by_number
"№ 358, школа",../../sredneobrazovatelnaya-shkola/358-shkola/index.html,a382,moskovskij,"",55.7,"",5.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola358shkolaindexhtml.htm,8123886875|8123884923,school358.edusite.ru,1d475fb44d1db845eea4e38a28ffa66b,select_exactly
"№ 507, школа",../../sredneobrazovatelnaya-shkola/507-shkola/index.html,a395,moskovskij,1,55.4,"",5.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola507shkolaindexhtml.htm,8123881953|8123884056|8123715867|8123715882,www.507.spb.edu.ru,3715423000fed517f0ae2e2f9567e83a,select_exactly
"№ 485, школа с углубленным изучением французского языка",../../frantsuzskij-yazyik/485-shkola-s-uglublennyim-izucheniem-frantsuzskogo-yazyika/index.html,a391,moskovskij,3,55.0,"",4.7,Французский язык,../data/shkola-spb.ru/cache/frantsuzskijyazyik485shkolasuglublennyimizucheniemfrantsuzskogoyazyikaindexhtml.htm,8123738067|8123734786,school485.ru,1e705bd4d8f3a8492d938155c8ee7d21,select_by_number
"№ 536, школа им. народного учителя Т. И. Гончаровой",../../sredneobrazovatelnaya-shkola/536-shkola-im-narodnogo-uchitelya-t-i-goncharovoj/index.html,a406,moskovskij,"",53.4,"",3.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola536shkolaimnarodnogouchitelyatigoncharovojindexhtml.htm,8123790346|8123790353,www.school536.ru,3d9d8f6412b1eef5845d3d2475490f09,select_by_number
"№ 354, школа",../../sredneobrazovatelnaya-shkola/354-shkola/index.html,a379,moskovskij,"",52.9,3.7,5.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola354shkolaindexhtml.htm,8127041914|8127041917,354spb.edusite.ru,9b321aed9edd50335ab0bc585d6c8301,select_exactly
