name,href,id,area
"№ 700, школа с углубленным изучением иностранных языков",../../inostrannyie-yazyiki/700-shkola-s-uglublennyim-izucheniem-inostrannyih-yazyikov/index.html,a72,vasileostrovskij
Санкт-Петербургский государственный академический художественный лицей им. Б.В.Иогансона,../../hudozhestvenno-esteticheskoe-obrazovanie/sankt-peterburgskij-gosudarstvennyij-akademicheskij-hudozhestvennyij-litsej-im-b-v-iogansona-rossijskoj-akademii-hudozhestv/index.html,a44,vasileostrovskij
"№ 29, школа с углубленным изучением французского языка и права",../../pravo/29-shkola-s-uglublennyim-izucheniem-frantsuzskogo-yazyika-i-prava/index.html,a62,vasileostrovskij
"№ 10, школа с углубленным изучением химии",../../himiya/10-shkola-s-uglublennyim-izucheniem-himii/index.html,a50,vasileostrovskij
"№ 642, гимназия «Земля и Вселенная»",../../sredneobrazovatelnaya-shkola/642-gimnaziya-zemlya-i-vselennaya/index.html,a70,vasileostrovskij
"№ 16, школа",../../sredneobrazovatelnaya-shkola/16-shkola/index.html,a54,vasileostrovskij
"№ 32, гимназия",../../sredneobrazovatelnaya-shkola/32-gimnaziya/index.html,a65,vasileostrovskij
"Центр Искусства Воспитания, вальдорфская школа",../../sredneobrazovatelnaya-shkola/tsentr-iskusstva-vospitaniya-valdorfskaya-shkola/index.html,a78,vasileostrovskij
"№ 35, школа с углубленным изучением английского языка",../../inostrannyie-yazyiki/35-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a66,vasileostrovskij
"Ювента, частная школа",../../sredneobrazovatelnaya-shkola/yuventa-shkola/index.html,a73,vasileostrovskij
"№ 27, школа с углубленным изучением литературы, истории и иностранных языков",../../inostrannyie-yazyiki/27-shkola-s-uglublennyim-izucheniem-literaturyi-istorii-i-inostrannyih-yazyikov/index.html,a60,vasileostrovskij
"№ 15, школа",../../sredneobrazovatelnaya-shkola/15-shkola/index.html,a53,vasileostrovskij
"№ 2, школа",../../sredneobrazovatelnaya-shkola/2-shkola/index.html,a45,vasileostrovskij
"№ 9, школа с углубленным изучением французского языка",../../frantsuzskij-yazyik/9-shkola-s-uglublennyim-izucheniem-frantsuzskogo-yazyika/index.html,a49,vasileostrovskij
"№ 17, школа",../../sredneobrazovatelnaya-shkola/17-shkola/index.html,a55,vasileostrovskij
"№ 21, школа",../../sredneobrazovatelnaya-shkola/21-shkola/index.html,a58,vasileostrovskij
"№ 28, школа",../../sredneobrazovatelnaya-shkola/28-shkola/index.html,a61,vasileostrovskij
"№ 5, школа",../../sredneobrazovatelnaya-shkola/5-shkola/index.html,a47,vasileostrovskij
"№ 19, школа",../../sredneobrazovatelnaya-shkola/19-shkola/index.html,a57,vasileostrovskij
"№ 6, школа",../../sredneobrazovatelnaya-shkola/6-shkola/index.html,a48,vasileostrovskij
"№ 576, школа-интернат с углубленным изучением предмета «Физическая культура»",../../sportivnaya-shkola/576-shkola-internat-s-uglublennyim-izucheniem-predmeta-fizicheskaya-kultura/index.html,a68,vasileostrovskij
"№ 575, центр образования",../../sredneobrazovatelnaya-shkola/575-shkola/index.html,a735,vasileostrovskij
Радиотехнический профессиональный лицей,../../drugoe/radiotehnicheskij-professionalnyij-litsej/index.html,a736,vasileostrovskij
"№ 36, школа начального общего образования",../../nachalnaya-shkola/36-shkola-nachalnogo-obschego-obrazovaniya/index.html,a67,vasileostrovskij
"Человечек, школа - детский сад",../../nachalnaya-shkola/chelovechek-shkola-detskij-sad/index.html,a74,vasileostrovskij
"АСПЕКТ, частная британская школа",../../nachalnaya-shkola/aspekt/index.html,a75,vasileostrovskij
ИЗЮМИНКА,../../nachalnaya-shkola/izyuminka/index.html,a76,vasileostrovskij
Православная школа семьи Шостаковичей,../../drugoe/pravoslavnaya-shkola-semi-shostakovichej/index.html,a765,vasileostrovskij
"№ 4, специальная школа VIII вида",../../deti-s-osobennostyami-razvitiya/4-shkola-viii-vida/index.html,a776,vasileostrovskij
Школа им. С. Т. Шацкого,../../chastnaya-shkola/shkola-im-stshatskogo/index.html,a1096,vasileostrovskij
Немецкая школа при Генеральном консульстве Германии,../../nemetskij-yazyik/nemetskaya-shkola-pri-generalnom-konsulstve-germanii/index.html,a1118,vasileostrovskij
"№ 645, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/645-shkola/index.html,a71,vasileostrovskij
