name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url
"№ 52, гимназия",../../sredneobrazovatelnaya-shkola/52-gimnaziya/index.html,a532,primorskij,9,63.0,4.0,6.7,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola52gimnaziyaindexhtml.htm,8123937312|8123933701,gymn52.ru
"ГРАН, частная школа",../../sredneobrazovatelnaya-shkola/gran-chastnaya-shkola/index.html,a572,primorskij,1,61.9,3.8,7.0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolagranchastnayashkolaindexhtml.htm,8123060419,schoolgran.spb.ru
"№ 540, гимназия",../../anglijskij-yazyik/gimnaziya--540/index.html,a846,primorskij,1,61.7,4.2,6.6,Английский язык,../data/shkola-spb.ru/cache/anglijskijyazyikgimnaziya540indexhtml.htm,8124316119,gymnasium540.ru
"№ 66, гимназия",../../sredneobrazovatelnaya-shkola/66-gimnaziya/index.html,a537,primorskij,6,61.1,4.0,4.7,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola66gimnaziyaindexhtml.htm,8123949204|8123933369,school66spb.ucoz.ru
"№ 597, лицей",../../sredneobrazovatelnaya-shkola/597-litsej/index.html,a555,primorskij,2,60.8,4.0,6.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola597litsejindexhtml.htm,8123011959|8123011943,school597.spb.ru
"№ 46, школа с углубленным изучением английского языка",../../anglijskij-yazyik/46-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a746,primorskij,18,60.7,3.7,5.2,Английский язык,../data/shkola-spb.ru/cache/anglijskijyazyik46shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8124303251,www.sch46.ru
"№ 49, гимназия",../../sredneobrazovatelnaya-shkola/49-gimnaziya/index.html,a531,primorskij,4,60.6,4.2,5.4,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola49gimnaziyaindexhtml.htm,8123418365|8123418310,school49spb.ru
"№ 106, школа",../../sredneobrazovatelnaya-shkola/106-shkola/index.html,a752,primorskij,"",60.0,3.9,7.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola106shkolaindexhtml.htm,8124961994,школа106.рф
"№ 644, школа",../../sredneobrazovatelnaya-shkola/644-shkola/index.html,a566,primorskij,1,59.9,3.9,5.3,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola644shkolaindexhtml.htm,8123474353|8123471984,school644.spb.ru
"№ 42, гимназия",../../sredneobrazovatelnaya-shkola/42-gimnaziya/index.html,a526,primorskij,3,59.8,4.0,4.6,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola42gimnaziyaindexhtml.htm,8123010878|8123931248,gou42.ru
"№ 554, лицей",../../sredneobrazovatelnaya-shkola/554-litsej/index.html,a545,primorskij,40,59.7,3.9,6.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola554litsejindexhtml.htm,8123953087|8123489090,sch554.spb.ru
"№ 41, гимназия им. Эриха Кестнера с углубленным изучением немецкого языка",../../nemetskij-yazyik/41-gimnaziya-s-uglublennyim-izucheniem-nemetskogo-yazyika/index.html,a525,primorskij,20,59.3,3.9,7.1,Немецкий язык,../data/shkola-spb.ru/cache/nemetskijyazyik41gimnaziyasuglublennyimizucheniemnemetskogoyazyikaindexhtml.htm,8123953502|8123949807,gymnasium41.spb.ru
"№ 634, школа с углубленным изучением английского языка",../../anglijskij-yazyik/634-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a563,primorskij,6,59.1,4.0,5.9,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik634shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8123044050,school634.com
"№ 246, школа",../../sredneobrazovatelnaya-shkola/246-shkola/index.html,a753,primorskij,1,59.0,4.2,6.4,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola246shkolaindexhtml.htm,8124913784,school246.ru
"№ 598, школа с углубленным изучением математики",../../matematika/598-shkola-s-uglublennyim-izucheniem-matematiki/index.html,a556,primorskij,3,58.4,3.9,5.7,Математика,../data/shkola-spb.ru/cache/matematika598shkolasuglublennyimizucheniemmatematikiindexhtml.htm,8123415817|8123415814,school598spb.narod.ru
"№ 53, школа",../../sredneobrazovatelnaya-shkola/53-shkola/index.html,a533,primorskij,"",58.1,4.2,6.3,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola53shkolaindexhtml.htm,8124304184|8124309716,school53spb.ru
"№ 618, школа",../../sredneobrazovatelnaya-shkola/618-shkola/index.html,a561,primorskij,1,57.8,4.0,7.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola618shkolaindexhtml.htm,8123954307|8123954306,school618.ru
"№ 113, школа",../../sredneobrazovatelnaya-shkola/113-shkola/index.html,a539,primorskij,"",57.7,3.6,6.1,Информатика,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola113shkolaindexhtml.htm,8124922334|8124921571,school-113.ru
"№ 40, лицей",../../sredneobrazovatelnaya-shkola/40-litsej/index.html,a524,primorskij,"",57.6,3.7,6.4,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola40litsejindexhtml.htm,8123947556|8123932360,licey40.siteedit.ru
"№ 640, школа",../../sredneobrazovatelnaya-shkola/640-shkola/index.html,a565,primorskij,1,57.6,"",6.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola640shkolaindexhtml.htm,8124310418|8124310417,www.school640.ru
"№ 582, школа с углубленным изучением английского и финского языков",../../anglijskij-yazyik/582-shkola-s-uglublennyim-izucheniem-anglijskogo-i-finskogo-yazyikov/index.html,a551,primorskij,2,57.5,4.0,5.3,Английский язык|Другие языки|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik582shkolasuglublennyimizucheniemanglijskogoifinskogoyazyikovindexhtml.htm,8123471773|8123495437|8123423868,school582.ru
ДОВЕРИЕ,../../nachalnaya-shkola/doverie/index.html,a578,primorskij,2,57.1,4.2,7.8,Начальная школа|Частная школа,../data/shkola-spb.ru/cache/nachalnayashkoladoverieindexhtml.htm,8123943428|8123417493|8123452613,www.school-doverie.ru
